epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0593,2.43971,3.22428,1.90168,0.00517,0.52619,0.1617,0.07125,2.07391,3.33138,1.81289,0.00036674,0.00036674,0.00036674
2,18.5991,2.26766,2.34102,1.77916,0.00892,0.58149,0.05429,0.01906,2.42515,3.33505,2.0402,0.000735297,0.000735297,0.000735297
3,27.2256,2.22574,2.30065,1.77345,0.05711,0.08036,0.03592,0.01067,2.52424,3.46793,2.29224,0.00108867,0.00108867,0.00108867
4,35.3657,2.23427,2.24117,1.77007,0.08034,0.27992,0.0665,0.02094,2.58592,5.92283,2.44484,0.00142686,0.00142686,0.00142686
5,43.29,2.26135,2.15935,1.76022,0.15803,0.4145,0.15875,0.05167,2.55234,3.7563,2.23303,0.00153497,0.00153497,0.00153497
6,51.3707,2.19383,2.1632,1.74246,0.29901,0.25806,0.24365,0.06968,2.20963,3.92704,1.99066,0.00150197,0.00150197,0.00150197
7,59.4119,2.19658,2.08246,1.75076,0.28269,0.44518,0.28918,0.09343,2.23212,2.78538,1.94955,0.00146896,0.00146896,0.00146896
8,67.4207,2.18741,2.04442,1.73351,0.42382,0.48057,0.30453,0.11687,2.14586,3.14974,1.93962,0.00143595,0.00143595,0.00143595
9,75.3192,2.15941,2.12392,1.76012,0.35317,0.48831,0.33832,0.12729,2.02651,2.54237,1.7712,0.00140295,0.00140295,0.00140295
10,83.3291,2.1355,2.04823,1.72328,0.38635,0.42546,0.36159,0.14381,2.02944,2.25704,1.80921,0.00136994,0.00136994,0.00136994
11,91.3168,2.14304,1.95549,1.69913,0.39666,0.39935,0.35213,0.15307,2.12493,2.27202,1.86355,0.00133693,0.00133693,0.00133693
12,99.2962,2.11055,1.93606,1.67313,0.37848,0.4691,0.44881,0.19928,1.99757,2.06631,1.74967,0.00130393,0.00130393,0.00130393
13,107.228,2.1124,1.8915,1.65821,0.5438,0.52027,0.50951,0.22186,1.8859,1.81861,1.63885,0.00127092,0.00127092,0.00127092
14,115.083,2.0902,1.90088,1.67292,0.43103,0.53658,0.48782,0.2116,1.97022,1.77976,1.65307,0.00123791,0.00123791,0.00123791
15,123.097,2.08334,1.9206,1.63227,0.50199,0.56981,0.53355,0.20846,1.92491,1.92283,1.61502,0.00120491,0.00120491,0.00120491
16,131.153,2.0955,1.80601,1.63129,0.49562,0.54728,0.51483,0.2048,1.93699,2.18073,1.63219,0.0011719,0.0011719,0.0011719
17,139.102,2.05208,1.80707,1.61952,0.51546,0.56369,0.53219,0.23199,1.94757,1.80986,1.6178,0.00113889,0.00113889,0.00113889
18,147.013,2.03676,1.76905,1.60744,0.49909,0.50054,0.52528,0.23299,1.98913,1.81583,1.66679,0.00110589,0.00110589,0.00110589
19,154.896,2.00991,1.91397,1.61169,0.5171,0.51088,0.5349,0.24671,1.90819,1.74663,1.62948,0.00107288,0.00107288,0.00107288
20,162.795,1.99889,1.72919,1.59761,0.56857,0.64614,0.59082,0.26804,1.84188,1.668,1.54036,0.00103987,0.00103987,0.00103987
21,170.667,1.99252,1.72714,1.58388,0.53686,0.58864,0.61857,0.27871,1.82853,1.69676,1.523,0.00100687,0.00100687,0.00100687
22,178.554,2.02833,1.7202,1.588,0.58603,0.61239,0.62918,0.29943,1.78197,1.6401,1.51098,0.000973861,0.000973861,0.000973861
23,186.601,1.96002,1.69675,1.55298,0.6188,0.5888,0.65456,0.29774,1.82884,1.62003,1.50865,0.000940855,0.000940855,0.000940855
24,194.568,1.96942,1.62631,1.55778,0.64459,0.6454,0.69993,0.33265,1.76549,1.47016,1.50929,0.000907848,0.000907848,0.000907848
25,202.495,1.9426,1.61912,1.53636,0.68106,0.61055,0.6811,0.33105,1.77299,1.56263,1.50994,0.000874842,0.000874842,0.000874842
26,210.376,1.95038,1.63921,1.54836,0.65746,0.65936,0.65352,0.31473,1.75414,1.56439,1.49595,0.000841835,0.000841835,0.000841835
27,218.237,1.93727,1.59887,1.53508,0.62821,0.55225,0.63043,0.30445,1.78787,1.60127,1.55848,0.000808828,0.000808828,0.000808828
28,226.148,1.95032,1.62692,1.5296,0.65239,0.65373,0.68611,0.29757,1.76896,1.51089,1.52501,0.000775822,0.000775822,0.000775822
29,234.141,1.91497,1.52697,1.52393,0.71194,0.63885,0.73313,0.35458,1.72173,1.45184,1.4931,0.000742815,0.000742815,0.000742815
30,242.376,1.91519,1.53105,1.52998,0.72823,0.70486,0.76277,0.3799,1.70105,1.39136,1.44387,0.000709809,0.000709809,0.000709809
31,250.503,1.87921,1.50193,1.50415,0.69539,0.73956,0.77906,0.39432,1.65125,1.34874,1.4093,0.000676802,0.000676802,0.000676802
32,258.655,1.86282,1.50497,1.48034,0.6776,0.70884,0.73603,0.38096,1.65179,1.38763,1.41033,0.000643795,0.000643795,0.000643795
33,266.792,1.837,1.44792,1.47843,0.69614,0.71055,0.78933,0.41528,1.62192,1.29389,1.38874,0.000610789,0.000610789,0.000610789
34,274.994,1.83745,1.41736,1.47156,0.74012,0.71374,0.77561,0.40076,1.60744,1.31399,1.43117,0.000577782,0.000577782,0.000577782
35,283.109,1.8475,1.44406,1.48262,0.70756,0.69306,0.73982,0.37551,1.64713,1.38334,1.46691,0.000544776,0.000544776,0.000544776
36,291.208,1.85952,1.4469,1.4804,0.82537,0.66045,0.79483,0.42825,1.63986,1.31784,1.39158,0.000511769,0.000511769,0.000511769
37,299.325,1.82256,1.4374,1.47565,0.7609,0.73766,0.81628,0.44747,1.5934,1.25029,1.35594,0.000478762,0.000478762,0.000478762
38,307.702,1.84267,1.38045,1.44884,0.77265,0.79819,0.83068,0.44927,1.60755,1.192,1.35689,0.000445756,0.000445756,0.000445756
39,315.805,1.77067,1.35378,1.43914,0.82268,0.74295,0.831,0.4683,1.55402,1.14378,1.31803,0.000412749,0.000412749,0.000412749
40,323.744,1.78969,1.37423,1.43768,0.76283,0.74046,0.80955,0.45149,1.54526,1.1747,1.32725,0.000379743,0.000379743,0.000379743
41,331.202,1.82356,1.49391,1.50926,0.68251,0.77074,0.80496,0.43093,1.59721,1.24782,1.34064,0.000346736,0.000346736,0.000346736
42,338.65,1.75295,1.37488,1.44115,0.77518,0.75358,0.8242,0.4573,1.57991,1.18951,1.3473,0.000313729,0.000313729,0.000313729
43,346.046,1.76061,1.35788,1.45312,0.7777,0.75619,0.83634,0.48745,1.50595,1.15889,1.32364,0.000280723,0.000280723,0.000280723
44,353.442,1.75454,1.34619,1.45451,0.7349,0.79069,0.83944,0.48789,1.50999,1.14273,1.31716,0.000247716,0.000247716,0.000247716
45,360.868,1.75481,1.34658,1.45657,0.7783,0.81451,0.8659,0.50872,1.49177,1.09748,1.30341,0.00021471,0.00021471,0.00021471
