States,x,y
Andhra Pradesh,-79,-232
Arunachal Pradesh,313,159
Assam,277,90
Bihar,79,58
Chhattisgarh,-22,-96
Goa,-233,-144
Gujarat,-286,-16
Haryana,-156,151
Himachal Pradesh,-125,236
Jammu and Kashmir,-207,315
Jharkhand,65,4
Karnataka,-147,-254
Kerala,-142,-352
Ladakh,-121,301
Madhya Pradesh,-120,-22
Maharashtra,-188,-96
Manipur,298,55
Meghalaya,217,60
Mizoram,269,9
Nagaland,306,75
Odisha,56,-75
Punjab,-167,204
Rajasthan,-226,66
Sikkim,159,105
Tamil Nadu,-90,-336
Telangana,-110,-172
Tripura,227,15
Uttar Pradesh,-50,97
Uttarakhand,-96,193
West Bengal,137,-17
